
河南频道,#genre#
河南卫视-4K测试,http://111.7.174.11/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://111.7.174.11/PLTV/88888888/224/3221225940/index.m3u8
河南-都市频道,http://111.7.174.11/PLTV/88888888/224/3221225941/index.m3u8
河南-民生频道,http://111.7.174.11/PLTV/88888888/224/3221225942/index.m3u8
河南-法治频道,http://111.7.174.11/PLTV/88888888/224/3221225943/index.m3u8
河南-电视剧频道,http://111.7.174.11/PLTV/88888888/224/3221225944/index.m3u8
河南-新闻频道,http://111.7.174.11/PLTV/88888888/224/3221225945/index.m3u8
河南-公共频道,http://111.7.174.11/PLTV/88888888/224/3221225947/index.m3u8
河南-新农村频道,http://111.7.174.11/PLTV/88888888/224/3221225991/index.m3u8
河南-国际频道,http://111.7.174.11/PLTV/88888888/224/3221226106/index.m3u8
河南-梨园频道,http://111.7.174.11/PLTV/88888888/224/3221225988/index.m3u8
河南-调解剧场,http://111.7.174.11/PLTV/88888888/224/3221225993/index.m3u8
河南-武术世界,http://111.7.174.11/PLTV/88888888/224/3221225990/index.m3u8
河南-人文地理,http://111.7.174.11/PLTV/88888888/224/3221225998/index.m3u8
河南-双升英雄会,http://111.7.174.11/PLTV/88888888/224/3221225997/index.m3u8
河南-睛彩中原,http://111.7.174.11/PLTV/88888888/224/3221226007/index.m3u8
河南-风尚河南,http://111.7.174.11/PLTV/88888888/224/3221226004/index.m3u8
河南-文物宝库,http://111.7.174.11/PLTV/88888888/224/3221225989/index.m3u8
河南-移动戏曲,http://111.7.174.11/PLTV/88888888/224/3221226003/index.m3u8
河南-移动戏曲宝,http://117.158.206.60:9080/live/xqb.m3u8
