央视,#genre#
CCTV-1综合,http://111.7.154.131:80/wh7f454c46tw3494965771_-1815097443/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
CCTV-2财经,http://111.7.154.130:80/wh7f454c46tw3500941330_665199926/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8
CCTV-3综艺,http://111.7.154.140:80/wh7f454c46tw3507652633_-1322040320/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8
CCTV-4中文国际,http://39.134.221.8:80/wh7f454c46tw3512580786_87372175/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8
CCTV-5体育,http://39.134.221.51:80/wh7f454c46tw3518633118_890229416/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226487/index.m3u8
CCTV-6电影,http://111.7.154.156:80/wh7f454c46tw3524581158_807711544/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226485/index.m3u8
CCTV-7国防军事,http://111.7.154.167:80/wh7f454c46tw3531083838_-1615529507/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226486/index.m3u8
CCTV-8电视剧,http://39.134.221.9:80/wh7f454c46tw3536587140_1545308820/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8
CCTV-9纪录,http://39.134.221.67:80/wh7f454c46tw3541576153_-1687632837/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226482/index.m3u8
CCTV-10科教,http://39.134.221.57:80/wh7f454c46tw3546581196_346706580/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226483/index.m3u8
CCTV-11戏曲,http://111.7.154.132:80/wh7f454c46tw3552556805_-474086947/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8
CCTV-12社会与法,http://39.134.221.77:80/wh7f454c46tw3559588254_-1560375523/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226479/index.m3u8
